IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
12626-7114;20130202;insucesso;2;2;;;;17;;;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;1;;;5;;;;2;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;3;;;;20;;;;;2;;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;2;2;;9;;;2;;;;;;;;;;2;;;;;3;2;91
13405-5490;20120202;SUCESSO;2;1;1;1;;135;5;;;1;1;;;1;;14;;12;;4;1;1;;;;44;1;;12;4;1;1;5;5;1;;7;1;1;1;;;;;7;1;1;1;1;;;1;;;1;1;1;;1;;1;23;4;1;1;1;10;2;3;2;1;4;2;;1;2;26;2;;;18;1;8;3;2;1;1;2;;3;1;;;;;107;4;3;1;;34;;1;;12;;4;2;2;2;;;2;1;;;14;;11;;4;3;2;26;3;;7;2;;4;2;3;1;1;;;2;1;1;1;11;;;;13;7;2;5;5;7;2;2;;5;;4;4;;;;736
1436-6400;20130102;SUCESSO;3;1;2;2;;64;5;;;2;7;3;;1;;4;3;1;;;;1;;;;25;;;7;5;3;1;5;5;3;1;;3;;;;;;;10;2;2;2;4;;;;;1;;;;;1;;;9;2;;;;;;;;;4;3;;;;16;7;1;4;8;1;;;;4;3;;;;1;3;;3;;73;2;;1;;22;;;;10;;6;1;;;;;1;1;1;;9;;8;;6;3;3;24;5;1;8;3;;5;2;3;1;2;;;3;1;1;2;4;4;;;;;;;;;;;;4;3;;;;;;471
14770-5489;20120202;insucesso;2;2;;;;13;3;;;;2;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;5;;;;2;;1;2;3;;1;1;1;;3;;2;2;;;;;;;;;;;;;;;4;1;;1;1;;;;;;;1;1;;;;;;;11;;;1;;1;;;;1;;;;;;;;;;;;1;;1;;1;1;1;2;1;;2;1;;2;1;1;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;93
14932-4114;20120101;insucesso;;;;;;7;;;;;;;;;;2;;;;;;;;1;1;1;;;;;;;;;;;1;;;;1;1;1;1;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;1;;;6;;;;1;;;;;;;;;1;;3;1;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;1;;;;;2;1;46
15247-6400;20130102;SUCESSO;2;1;1;1;1;82;13;;;4;3;1;;1;;22;2;14;;3;;4;2;;;27;;;5;2;;;1;1;;2;3;6;;;;;1;1;7;1;1;1;1;;;1;;4;1;1;1;;3;;;49;3;1;;2;17;;9;5;3;11;7;;5;;49;6;2;2;37;;12;5;3;10;6;7;4;7;2;;;;;114;2;;8;2;34;;2;;10;;6;3;2;1;;;2;2;1;;8;;7;;4;2;2;26;4;3;10;4;3;7;3;5;3;4;1;;2;1;1;1;6;2;;;4;3;2;;;6;2;;;9;1;;;1;2;;820
16014-5799;20130101;insucesso;;;;;;16;2;1;;;2;2;;7;5;;;;;;;;;2;1;7;;;2;1;1;1;;;;1;2;;;;;;;;6;;;;3;;3;;3;;;;;3;7;3;5;1;;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;1;3;1;1;1;14;;1;;;3;1;;;1;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;4;1;3;;2;2;;;;;;;;;;;;;;;134
16014-6590;20130201;insucesso;;;;;;12;2;;;;1;;;4;3;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;3;;;;1;;;;3;;;;;;4;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;13;;;;;5;;;;3;;2;1;1;;;;;;;;1;;1;;1;1;1;3;1;;2;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;82
17228-6401;20130102;insucesso;1;;1;1;;31;5;;1;;9;4;;;;5;;5;;3;;;;;;9;;;5;5;2;;5;4;;;2;;;;1;1;2;2;14;1;1;1;6;;4;;;;;;;;;;;13;2;;;;5;1;3;1;;1;1;;3;;10;1;;1;10;1;5;3;1;;;;;;;;;;;14;;2;1;1;6;2;;;5;;2;;;;1;1;2;2;;;6;1;6;3;2;2;1;6;3;1;2;1;1;2;1;1;;1;;;1;;;1;2;;;;2;2;2;;;;;;;;;;;;;;282
17491-4917;20120201;insucesso;1;1;;;;32;1;;;;1;;;1;;3;;;;;;;;2;;2;;;;;;;;;;;;1;;;1;1;;;2;;;;;;;;;;1;1;1;;1;;;2;1;;;;;;;;;;;;;;6;1;;;1;;;;;;;3;;1;;3;1;;;18;;1;;;7;1;;;2;;2;;;;;;;;;1;1;;1;;;;;4;1;;2;1;;1;1;;;;2;1;1;1;1;;2;;;;2;1;;1;1;;;;;2;;;;;;;131
17491-5799;20130101;insucesso;2;1;1;1;;22;5;;;3;1;;;;;3;;;;;;;;;;11;;;4;;;;;;;;;;;;;;;;5;1;1;1;3;;1;1;1;;;;;;2;;1;1;1;;;1;;;;;;;;;;;4;1;;1;;;;;;;;1;;1;;;;;;17;1;1;;;5;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;112
17491-6590;20130201;SUCESSO;4;1;3;3;1;35;5;;;;5;;;;;7;;5;1;2;1;1;2;;;6;1;;1;1;;;;;;1;3;;;;;;2;2;14;2;2;2;4;;;;;1;1;1;1;;1;;1;8;3;1;1;2;4;2;2;2;1;4;4;;1;;10;2;1;;7;2;4;2;2;4;4;2;1;;1;1;;1;;11;;1;1;1;2;;;;2;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;4;1;1;3;3;1;;;4;1;2;;;;;;;;;;;;;;243
18398-5384;20120202;SUCESSO;3;2;1;1;;60;;;;;9;;;4;;9;;3;;2;;;4;;;17;;;2;2;1;;;;;;;3;1;1;3;3;;;17;1;1;1;3;;;;;1;1;1;1;;5;;;24;8;;;3;13;4;5;3;2;1;;;;;23;6;3;1;14;2;6;2;1;1;;5;3;3;;;;;;62;;;1;1;9;;;;3;;1;;;;;;1;1;1;;3;;3;;1;1;1;11;3;2;4;3;2;3;3;3;3;1;1;;3;2;2;1;;;;;;;;1;1;22;6;3;1;4;;1;1;3;;;475
18432-5799;20130101;insucesso;1;1;1;1;;20;1;;1;;2;;1;;;;;;;;;;;;;4;;;1;;;;2;2;;;;;;;;;;;5;1;1;1;1;;;3;;;1;1;1;;1;1;;1;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;1;;2;1;1;;29;;;;;4;;;;1;;;;;;;;3;2;;;12;;9;;2;1;1;16;1;;3;;;2;;1;;;1;;1;1;1;1;1;;;;;;;;;9;6;2;;3;;;;3;3;2;185
18444-4114;20120101;insucesso;2;1;1;1;;20;1;;;;3;;;2;;1;;;;;;;1;;;5;;;2;1;;;1;1;;1;;;;;1;1;;;4;1;1;1;;;;;;;1;1;1;1;5;2;;3;;;;;1;;1;1;;1;;;;1;2;1;;;2;;1;1;1;1;;1;;1;;2;1;;;19;2;;;;7;;;;5;;2;;;;1;;1;;;;5;;5;;1;;;17;1;1;4;1;1;1;1;;;;2;1;2;1;1;1;2;;1;;;;;;;;;;;;;;;;;;172
18444-5384;20120202;insucesso;3;2;1;1;;11;1;;;;3;1;;5;2;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;8;1;1;1;3;1;;;1;;1;1;1;;5;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;6;1;1;1;1;1;1;1;;;;;;3;2;2;1;;;;;;;;;;;;;;;;;;;;;91
18444-6895;20130201;SUCESSO;1;1;;;;8;;;;;2;;;3;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;6;;;;3;;;1;;1;1;1;1;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;3;;;;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;50
18607-4917;20120201;SUCESSO;2;1;1;1;;21;4;;;;;;;;;3;1;1;;;;;;;;10;;;4;3;1;1;;;;;;;;;1;1;1;1;3;1;1;1;1;;;;;;;;;;;;;3;;;;;1;;;;;;;;;;8;2;;2;2;;;;;;;;;1;1;;;;;17;;;2;;5;;1;;4;;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;128
21169-6402;20130102;SUCESSO;1;;1;1;;26;2;;;1;3;;;;;1;;;;;;;;;;12;;;2;;;;1;1;;;;1;;;;;;;7;1;1;1;;;;1;;2;;;;;;;;3;1;;;;;;;;;;;;;1;7;2;;1;3;1;;;;;;;;2;;1;;;;43;;;2;1;13;;2;;3;1;2;1;1;1;2;;3;3;2;;7;;6;;3;;;18;2;1;5;1;;1;;;;;1;;1;;;1;1;;;;;;;;;;;;;1;1;;;;;;218
21283-6895;20130201;insucesso;1;1;;;;27;1;;1;;1;;;;;1;;;;;;;;;;13;;1;4;1;1;;;;;;;;;;2;2;;;4;;;;1;;1;;;;1;1;1;;;;;3;1;;;1;;;;;;2;1;;;;7;3;;;3;1;;;;2;;;;1;;1;1;;;32;;3;1;;5;2;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;;;;;;;142
21283-7297;20130202;insucesso;2;;2;2;;27;;;;;5;2;;;;2;;1;;1;;;;;;16;;;2;;;;;;;;;;;;;;;;12;2;2;2;5;2;2;1;;4;;;;;;;;5;;;;;2;;2;1;;;;;1;;5;;;;4;;2;2;1;;;1;1;1;;;;;;36;;6;1;1;11;4;;;1;;1;;;;;;;;;;2;;2;;;;;6;;;1;;;1;;1;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;200
21361-4917;20120201;SUCESSO;3;;3;3;;81;2;;;1;8;;;;;5;;4;2;;;;;;;26;;;4;1;;;5;5;2;;;;;;1;1;;;14;2;2;2;3;;;1;;2;;;;;;;;6;2;1;1;2;;;;;;;;;1;1;9;4;1;1;5;2;;;;;;;;;1;;;;;83;;2;2;1;14;;;;5;;2;1;;;;;;;;;12;;12;;6;2;1;39;2;1;14;1;1;6;1;1;;1;;;3;;;3;3;;;;1;;;3;1;;;;;2;;2;1;;2;;451
21380-4114;20120101;insucesso;;;;;;7;;;;;;;;;;1;;;;;;;1;;;4;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;3;1;;;;;;;;;;1;;1;1;;;;;11;;;1;;1;;;;1;;;;;;;;;;;;2;;2;;;;;9;2;2;1;1;1;1;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;62
21513-5384;20120202;insucesso;2;2;;;;19;;;;;3;;;;;2;;2;;;;;;1;;4;;1;1;1;;;1;1;;;;;;;1;1;;;13;;;;1;;;1;;;1;1;1;;1;;1;3;;;;;;;;;;;;;;;4;;;;2;;;;;;;;;1;;1;;;;9;;2;1;;1;;;;1;;;;;;;;;;;;3;1;2;;2;1;1;5;3;1;3;3;1;2;1;2;;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;127
21513-6030;20130101;SUCESSO;2;1;1;1;;33;2;;;;4;1;;;;8;;3;;;;;2;;;7;1;;1;;;;;;;1;6;2;2;2;4;4;3;3;7;1;1;1;1;;;;;;1;1;1;;;;;19;;;;;2;;;;;;;;;1;13;1;;1;8;;2;;;;;2;2;;;2;;;;11;1;1;1;1;3;;;;;;;;;;;;;;;;2;1;1;;;;;5;;;3;;;1;;1;;;;;2;1;1;1;12;2;;;8;6;;3;3;10;3;2;1;3;;2;2;;;;255
21629-5061;20120201;insucesso;1;;1;;;52;4;1;3;;14;;3;;;8;;5;;3;;;1;;;5;;;;;;;1;;;;1;1;;;;;;;27;;;;2;;;5;;2;;;;;;;;29;3;;;1;14;1;6;3;;5;4;;7;1;28;;;;23;;12;5;2;3;2;4;3;2;;;;;;34;;;4;3;13;;3;2;5;;3;3;;;;;1;1;1;;6;;4;;3;3;2;5;1;1;3;1;1;3;1;2;;2;;;1;;;;2;;;1;1;1;1;6;6;1;;;;7;;6;6;1;;;449
21894-4114;20120101;insucesso;4;1;3;2;;33;3;;;;1;;;11;5;;;;;;;;;3;2;11;;2;3;1;1;;;;;;;1;;;2;2;;;10;2;2;1;1;;1;1;3;1;1;1;1;;14;5;6;3;;;;;;;;;;;;2;;;8;3;;;2;;;;;;;1;1;;1;7;4;4;1;46;;;3;;8;;1;;4;;2;1;1;1;1;1;2;2;;4;6;;6;1;4;;;10;4;3;4;2;2;;;;;;3;3;4;1;1;2;1;;;;;;;;;10;6;2;;3;;;;;;;333
22135-4114;20120101;insucesso;2;;1;;;21;3;;1;1;2;1;;2;1;1;;;;;;;;;;6;;;1;;;;1;1;;1;;;;;1;1;;;8;;;;2;;1;;;;1;1;;;2;1;1;1;;;;;;;;;;;;;;1;4;2;;;;;;;;;;2;;1;;1;;1;;17;;1;1;;5;1;;;1;;;;;;;;;;;;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;;;;;2;1;;;4;;;1;2;1;2;1;;2;1;1;;2;;1;;1;2;1;143
22271-4917;20120201;insucesso;;;;;;15;;;;;1;1;;;;;;;;;;;;;;8;;1;3;2;1;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;10;;;1;;3;;;;2;;1;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55
22279-4114;20120101;insucesso;2;1;1;1;;22;3;;1;1;3;;1;9;5;1;;1;;;;;;3;1;2;;;1;;;;;;;;;;;;1;1;;;12;;;;1;;;1;;1;1;1;1;;9;2;5;3;2;;;;;;;;;2;1;1;;;3;;;;3;2;;;;2;1;;;;;6;;3;3;7;;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;1;;144
22363-4114;20120101;SUCESSO;2;1;1;1;;80;1;;;;1;;;;;15;;13;2;1;1;2;1;;;11;;;1;;;;3;2;;3;2;2;;;4;4;4;4;6;1;1;1;4;;;1;;;1;1;1;;;;;33;6;;;2;3;;2;2;;2;1;;1;6;36;5;;1;28;3;3;2;2;2;1;3;1;;1;;;;;43;;;2;1;6;;;;;;;;;;;;;;;;8;1;4;;;;;21;1;;1;;;;;;;;;;2;1;1;1;15;2;;;10;5;3;2;1;21;3;1;;3;1;1;1;;1;;488
22483-6030;20130101;insucesso;2;1;1;1;;11;1;1;1;;4;;1;3;3;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;11;1;1;1;3;1;;1;1;2;1;1;1;;7;;7;1;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;1;1;1;;;2;;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;2;1;;;;;;;;;1;;;;1;;;;1;;;93
22559-5384;20120202;SUCESSO;2;1;1;1;;21;1;;;;7;;;1;;1;;1;;;;;;;;4;1;;1;1;;;;;;1;;;;;1;1;;;13;1;1;1;4;;;5;;1;1;1;1;;1;;1;2;1;;;;;;;;;;;;;;7;1;;;2;1;;;;;;;;1;1;;;;;16;1;2;1;1;4;;1;;1;;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;131
22607-5384;20120202;insucesso;1;1;1;1;;24;1;1;;1;3;1;;;;10;;5;;;;;;;;3;;1;;;;;;;;;;;;;2;2;1;1;5;1;1;1;2;1;1;;;;1;1;1;;;;;16;8;;;;2;;2;1;;3;1;;;;19;2;;;13;7;1;1;1;3;1;1;;;;1;;1;1;7;;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;2;1;;;;;1;;1;1;;;;184
22659-5490;20120202;insucesso;1;;1;1;;49;10;2;;4;1;;;2;1;6;;3;;;;;3;14;10;12;;1;5;3;2;2;;;;;;;;;1;1;;;2;1;1;1;;;;;2;;;;;;3;2;1;25;7;;;;3;;2;1;;19;14;12;;1;28;4;;1;24;7;2;2;1;17;13;7;5;3;;27;11;20;16;24;4;;5;2;11;;3;1;6;;4;4;3;2;1;;2;;;6;4;;2;1;1;1;1;3;1;;3;;;2;;2;;2;3;3;1;;;1;1;1;;;1;;;;;;;;;;;;;;;;532
22700-5489;20120202;SUCESSO;2;1;1;1;1;14;1;;;;5;;;;;1;;1;;;;;;;;4;;;1;1;;;;;;;;;;;;;1;1;7;1;1;1;1;;;1;;1;1;1;1;;2;;1;3;1;1;1;;;;;;;;;;;1;2;;;;1;1;;;;;;;;;1;;;;;9;;1;2;1;4;;2;;3;2;;;;;;;;;;;1;;1;;1;1;1;2;;;1;;;1;;1;;;;;2;1;1;1;6;1;;;;;;;;;;;;;;;;;;;113
22957-6590;20130201;insucesso;2;2;;;;16;;;;;2;;;;;2;;2;;1;;;;;;2;;;1;;;;;;;;;;;;1;1;;;6;;;;3;;1;1;;;2;2;2;;;;;8;;;;;3;;2;2;;1;;;2;;7;;;;6;;2;1;1;;;2;1;;1;;;;;10;;2;1;;4;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;1;;;;;;;;;;;;;;;;;;;;116
22977-5799;20130101;insucesso;3;;3;1;;39;3;;;;3;;;;;7;;2;;2;;;;;;10;;;4;2;2;2;1;;;;1;1;;;;;;;6;3;3;1;2;;;;;1;;;;;;;;4;2;;;2;2;;1;1;;1;1;;1;;12;5;;1;3;1;2;1;1;;;;;1;;1;;;;25;;3;3;1;12;1;1;1;7;;5;4;3;2;1;;1;;;;2;1;;;;;;;;;;;;;;;;;;;3;;;1;;;;;2;;2;1;1;;;;;1;;1;1;;;;231
23182-6030;20130101;insucesso;1;;1;1;;6;;;;;1;1;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;3;;;;;;;;;;1;;1;;;;1;1;;;;;;4;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;41
23182-6895;20130201;insucesso;;;;;;12;;;;;;;;;;2;;;;;;;1;;;5;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;2;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;2;;1;1;;;;39
23668-5490;20120202;insucesso;2;1;1;1;;24;1;;;1;2;1;;;;1;;1;;;;;;1;1;8;;;2;2;1;1;;;;;;;;;;;1;1;3;1;1;1;1;;;;;;1;1;1;;;;;11;1;;;1;3;1;2;1;;1;;;;;9;3;;1;5;;2;2;1;;;;;;;3;1;2;1;17;;;;;5;;;;3;;2;2;2;1;1;1;2;2;1;1;4;1;3;;1;1;;7;1;1;3;1;1;3;1;2;;;;;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;191
24082-4114;20120101;insucesso;2;2;;;;20;;;;;4;;;1;;1;;1;;1;;;;;;8;;;4;4;2;;;;;;;;;;;;;;11;;;;1;;1;1;1;3;2;2;2;;5;1;1;2;;;;;1;;;;;;;;1;;2;;;;1;;1;;;;;;;1;;;;;;27;1;3;;;9;1;;;7;;5;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;1;1;;;3;;3;;;10;4;;;3;;;;1;4;3;191
24192-6401;20130102;SUCESSO;2;;2;2;;28;1;;;;6;;;;;4;;4;;2;1;;;;;8;;;3;1;;;;;;;;;;;;;;;11;2;2;2;;;;1;;;;;;;;;;7;1;;;;3;1;1;1;;;;;;5;6;;;;6;;3;1;1;;;;;;;;;;;26;;1;;;9;;;;1;;;;;;;;2;;;;4;;2;;2;2;1;5;;;2;;;2;;1;;1;;;2;;;2;5;;;;;;;;;;;;;1;;;;;;;189
24407-6030;20130101;insucesso;4;3;3;3;;37;;;;;8;1;2;3;;3;;1;;;;;;;;8;;;4;1;1;1;1;1;;;;;;;;;;;24;2;2;2;3;1;1;2;2;2;1;1;1;;7;;2;5;1;;;1;1;;;;;1;;;;;6;1;;;3;1;1;;;;;1;;;;1;;1;1;34;1;2;;;12;1;;;3;;2;2;;;2;1;2;1;;1;5;;4;;1;;;16;3;1;4;1;1;1;1;1;;1;;;4;3;3;3;4;;;2;2;1;1;;;4;2;;;7;;;;1;7;7;318
25326-4114;20120101;insucesso;1;;1;;;25;2;;;1;;;;;;1;;;;;;;;2;1;11;;;4;1;;;;;;2;1;1;;;;;;;5;;;;2;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;3;1;;;1;;;;;;;;;;2;2;;1;1;24;;;1;;8;;1;;4;;2;;;;;;1;1;1;;1;;1;;1;1;1;1;;;1;;;1;;1;;1;1;1;1;;;;4;3;2;1;1;1;;;;;;;;4;;;;;;;147
25326-5490;20120202;insucesso;2;1;1;1;;16;;;;;2;;;;;;;;;;;;;;;8;;;1;;;;;;;;;1;;;;;;;4;1;1;1;;;;1;1;;1;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;1;;1;;;;;;;1;;;;;;;67
26616-7114;20130202;insucesso;;;;;;44;4;2;;;;;;9;6;;;;;;;;;9;8;10;;;2;;;;1;1;;4;;3;;;3;2;1;1;13;;;;4;;;4;1;;;;;1;18;1;12;15;2;;;;4;1;1;;;4;3;;;2;18;3;;3;10;2;4;1;;3;2;2;1;1;3;15;;13;7;39;1;1;2;;16;;1;;5;;5;4;3;1;1;;4;2;;2;9;2;4;;2;2;1;8;2;1;5;2;1;4;2;1;;;4;3;;;;;8;;;;;;;3;3;3;;;;6;;2;2;;1;;452
26940-4917;20120201;SUCESSO;2;2;;;;67;14;;;1;7;3;;;;13;6;2;1;;;1;1;;;13;3;;2;1;1;;;;;;2;3;;;;;;;14;;;;6;;;;;;1;1;1;;;;;6;4;1;;;1;1;;;;2;1;;;;18;11;2;2;5;3;1;;;2;1;1;;1;2;3;;2;;22;2;4;2;;3;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;3;1;;;3;;;2;1;14;4;1;1;6;1;2;1;3;;;322
27002-5489;20120202;insucesso;;;;;;10;1;;;;;;;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;1;;;;;;;;;2;;;;;3;1;;;2;1;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;3;;;;2;;;;2;1;1;46
27129-7297;20130202;SUCESSO;2;;2;2;;40;4;;;1;10;2;;2;;8;1;5;;;;;1;;;9;;;4;4;3;3;1;1;;;3;1;1;1;1;1;1;1;10;2;2;2;3;;;1;;2;;;;;2;;;12;3;;;;1;1;1;;;;;;;;12;2;;;10;1;1;1;;;;1;1;;;;;;;19;3;;1;;8;;;;7;;5;5;4;1;1;;1;;;;2;1;1;;;;;1;;;;;;;;;;;;;2;;;2;2;1;;;4;2;4;3;3;;;;;3;;3;3;;;;278
27350-6401;20130102;SUCESSO;2;1;1;1;;93;5;;;1;10;;;;;13;;8;;6;3;;3;;;15;1;;7;3;2;2;1;1;1;1;;2;1;1;1;1;;;21;;;;3;;;1;;2;1;1;1;;;;;40;6;2;1;2;23;2;13;7;3;6;2;;4;;50;5;1;2;28;3;15;10;6;1;;8;6;3;1;;;;;31;1;4;7;3;16;;3;;9;3;4;4;3;1;3;;3;1;1;;4;1;2;;1;1;1;4;2;1;1;1;1;1;1;1;1;1;;;2;1;1;1;3;;;;;;;3;3;;;;;3;1;2;2;;1;;612
27352-6401;20130102;SUCESSO;3;1;2;2;;22;1;;;;5;;;;;;;;;;;;;;;4;;;1;1;;;;;;;;1;;;;;;;11;1;1;1;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;1;;;4;;;;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;3;2;1;2;;;;;;;;;;6;;;;2;;;;1;;;106
27455-5061;20120201;insucesso;2;1;1;1;;37;8;;1;;8;5;;4;2;6;;3;;;;;;;;5;;;2;;;;;;;;1;;;;2;2;2;2;13;1;1;1;8;1;3;;1;;1;1;1;;6;1;3;8;4;;;1;;;;;;;;;1;1;9;3;;;5;3;;;;;;;;;;;;;;7;1;;;;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;;;1;;;2;2;;;;;2;;2;2;;;;201
27455-6030;20130101;insucesso;;;;;;7;1;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;4;;;;;;;;;;;;;;2;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;23
27455-7297;20130202;insucesso;2;1;1;1;;58;18;7;4;3;9;4;;6;3;7;;2;;;;;;;;20;;;2;1;;;1;1;;1;;;;;5;5;3;3;22;1;1;1;13;2;5;1;7;;1;1;1;1;16;4;10;11;6;;;1;2;1;;;;4;2;1;;;16;7;;1;8;4;;;;4;2;;;;1;2;1;2;2;40;;2;1;;7;;1;;3;;1;1;;;;;;;;1;4;;2;;2;1;;4;;;3;;;1;;;;;2;2;2;1;1;1;2;;1;;2;1;2;;;;;;;;;;;;2;;426
