IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>14>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
28173-4433;20120102;insucesso;2;1;1;;33;3;;;8;;1;;;;;;;;;;;;8;1;2;1;;;;2;1;;;;;;;;;;;;;;;13;;;;2;;3;;1;1;1;1;;;;;4;1;;;1;;1;;;;;;;4;;;;;;;;;;;;;;;;2;1;1;;;;;17;;1;1;;;5;1;;1;;;;;;;;1;1;;;;5;;1;4;1;2;;2;2;1;1;8;3;;;;;5;1;;3;1;3;1;1;1;1;;2;1;1;;1;;;1;1;;;;;;;;;;;;;;;;;;183
28177-4114;20120101;insucesso;1;;1;1;14;2;;2;;;;;;1;;1;1;;;;;1;5;;1;;;;1;;;;;;;;1;;;;;;;;;2;1;1;1;1;1;1;;;;;;1;1;;;4;2;;1;;;;;;;;;;6;;;;2;1;;;;;;;;1;;;1;;1;1;;1;1;14;;;2;;;2;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;;;;1;2;1;1;1;;16;1;4;2;;3;;1;;1;;;124
28198-5490;20120202;insucesso;1;;1;1;22;;;;2;;;2;;1;;;;;;;;;8;;3;1;1;;;3;3;;;;;;1;;;;;;;;;4;1;1;1;;;;;1;;;;;2;1;;3;;;;3;;1;1;;;;;;5;;;;3;;3;1;1;;;;;;;;;;;;;;;14;1;;1;;1;8;;;3;;1;;;;1;;1;;;;;6;;1;5;;1;;;;;;10;3;2;1;1;1;4;2;1;2;2;2;2;1;;;;1;;;1;;;;;;;;;1;1;;;;;;2;;;;;;;166
28250-4917;20120201;SUCESSO;2;1;1;1;30;2;;;3;;;;;5;;;;;;;2;;7;;3;2;1;;;;;;;2;;;;;;;1;;;1;1;5;1;1;1;1;;;;;1;1;1;;;;;4;2;;1;1;;;;;;;;1;14;;;;3;1;1;;;;;;;4;;;1;;2;;;;;17;;;3;;1;3;;;2;;1;;;;;;;;;;;2;;;2;;1;;1;1;;;5;1;;;;;1;1;;1;1;1;1;;;;;2;1;1;1;8;1;;;;;;;;;;;;;;;;;;;;;172
28256-5061;20120201;insucesso;;;;;5;;;;;;;;;1;;1;;1;;;;;1;1;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;3;;;;2;;1;1;;;;1;;3;2;1;1;3;;2;1;1;;;;;1;1;;;;;;;;;4;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;3;1;1;1;;;;1;;;54
28386-5061;20120201;insucesso;;;;;10;;;;4;1;;;;1;;1;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;5;;;;2;;;1;1;;;;;1;;1;1;;;;;;;;;;;;;2;1;;;1;;;;;;;;;;;;;;;;;;;3;;;1;1;;1;;;;;;;;;1;;1;1;;;;1;1;;1;;1;;1;;;;1;1;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59
28391-5489;20120202;insucesso;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
28835-4435;20120102;SUCESSO;1;;1;1;11;2;;;4;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;3;;;;1;;1;1;;1;1;;;4;;;;3;;1;1;1;;1;1;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;53
29011-4114;20120101;SUCESSO;1;;1;1;32;1;;1;;;;4;;2;;1;;1;;;;;13;;5;1;1;;2;6;6;1;1;;1;;;;;;1;1;;;;6;;;;1;;;;1;;;;;5;;1;7;3;;1;4;3;1;1;;;;2;;9;;;;6;;3;1;1;;;;1;1;1;;;;2;1;;;;40;1;3;2;;1;17;;1;9;1;4;2;1;;3;;6;3;;;;16;;1;12;2;2;;2;1;;;20;3;2;;1;1;3;2;2;3;2;1;1;;;1;1;1;;;1;2;;;2;;3;;1;1;1;;;;;;2;;1;1;;;;335
29016-4114;20120101;insucesso;1;1;;;24;;;;2;;;1;;2;;1;;;;;;;6;;2;;;;;;;;;;;;;;;;1;1;;;;4;;;;1;;;2;;;;;;3;3;;6;;;;;;;;;6;2;;;9;5;;1;6;;;;;;6;2;;1;1;2;;;;2;1;2;;20;;1;1;;1;7;;1;2;;2;1;1;;;;;;;;;3;;;2;;1;;;;;;5;;;;;;2;;;1;;;;;;2;1;1;1;1;;;;;;;;;;;;5;1;1;1;1;4;;;;2;3;3;185
29016-5061;20120201;SUCESSO;1;;1;1;24;2;;;5;3;;;;4;;2;;;;;;2;5;;;;;;;1;1;1;;;1;;;;;;1;1;;1;1;8;;;;3;;;;;;;;;1;;;7;3;;1;;;;;;4;3;;;12;7;;1;6;3;;;;;3;3;;;;;;;;5;;3;2;15;;;;;;4;;;1;;;;;;;;;;;;;1;;;1;1;1;;;;;;1;1;1;;1;1;1;1;;;;;;;;;;1;;;1;;;;;;2;;1;1;1;;;;;;1;;;;;;;172
29379-6895;20130201;insucesso;;;;;24;2;;;;;;;;;;;;;;;;;6;;2;1;;;;1;1;1;;;;;1;;;;1;1;;;;1;;;;;;;1;;;;;1;1;1;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;1;;;;;16;;1;;;;5;;;2;;;;;;;;;;;;;3;;;3;1;1;1;1;;;;3;1;1;;1;1;1;1;1;1;;;;;;1;1;;;;;7;2;;;;1;;;;;5;;;;;1;;;;1;;;114
30492-4433;20120102;insucesso;1;1;;;51;1;;;4;1;;;;8;1;2;1;;;;2;;8;2;3;1;;;1;3;3;2;;;1;;1;;;3;3;3;3;;;8;;;;2;;;;;1;1;1;;1;;;10;2;;;3;;2;1;;;;;;20;7;1;1;6;1;2;1;1;;;;;5;1;;1;1;;;;;;30;2;1;4;1;1;13;;1;3;;1;1;;;1;1;3;3;;;2;12;;;10;1;4;;4;1;;;13;7;2;1;1;1;6;3;2;4;3;1;1;;;3;3;1;1;1;;2;;;;;3;1;2;;;33;2;20;10;6;7;1;;;3;3;3;440
30492-5384;20120202;insucesso;;;;;11;;;;1;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;1;;;1;;;;;;2;;;;;;;;;;;;;;;;2;;;;1;;1;1;;;;;;2;;;;2;;1;1;1;;;;;;;;;;;;;;;4;;;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;3;1;;4;;;;1;1;1;61
30492-6030;20130101;SUCESSO;1;;;;15;;;;3;;;;;1;;1;;1;1;;;;2;;1;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;7;;;;3;;2;1;;;;2;;5;;;;4;;1;1;;;;;2;;;;;;;;;;;8;1;;1;;1;4;;;1;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;3;1;6;;;;;3;1;;;;2;2;100
30586-4434;20120102;SUCESSO;1;1;;;13;1;;;3;3;;1;;1;;1;;;;;;;4;;2;1;1;;;3;1;1;;;;;;;;;;;;;;6;;;;4;;;;;1;1;1;;1;;;2;1;;;1;1;1;;;;;1;1;2;;;;2;;1;1;;;;;;;;;;;;;;;;7;;1;1;;1;3;;1;1;1;1;;;;1;;1;1;1;;;5;;1;2;;2;;1;1;;;2;1;;;;;2;1;;1;;1;;;;2;2;1;1;1;;1;;;1;;;;;2;2;;;;;;1;;1;1;;;;123
30588-4435;20120102;insucesso;1;;1;1;10;;;;1;;;;;1;;1;;;;;;;4;;1;;;;;1;1;;;;;;;;;;;;;;;2;1;1;1;;;;;1;;;;;;;;3;2;;2;;;;;;;;;;3;;;;2;1;;;;;;;;;;;;;;;;;;9;;1;1;;;1;1;;;;;;;;;;2;2;;;;5;;;5;;;;;;;;11;1;;;1;1;1;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;87
30588-5490;20120202;insucesso;;;;;3;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
30588-5799;20130101;insucesso;1;;1;1;7;;;;;;;;;;;;;;;;;;3;;;;;;1;3;3;2;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1;1;1;1;;5;;;5;1;3;;2;1;;;9;1;1;;;;5;1;1;3;1;1;1;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;76
30588-6590;20130201;insucesso;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
30609-5061;20120201;insucesso;;;;;4;1;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;3;;;;1;;1;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24
30639-5489;20120202;SUCESSO;1;1;;;19;;;;1;;;;;2;;;;;;;;;9;;2;;;;1;1;1;1;1;;;;;;;;;;;;;3;;;;;;;;;1;1;1;;;;;6;1;;;2;1;2;1;1;;;1;;10;;;;6;;2;2;1;1;;;1;;;;2;1;;;;;;12;;1;2;;1;3;;1;;;;;;;;;1;1;1;;;3;;;3;;3;;2;2;2;;3;1;1;;;;3;1;1;2;1;2;1;2;;1;;1;1;1;;;;;;;;;;1;1;;;;;;1;;1;1;;;;152
30687-4433;20120102;SUCESSO;;;;;19;2;;;2;;;;;;;;;;;;;3;4;;3;1;1;;;;;;;;1;;2;;;;2;2;1;;;4;;;;;;1;;;;;;;2;;1;4;;;;1;;1;;;1;1;;;7;1;;;2;;1;1;;;1;1;;1;1;;1;1;1;3;;2;1;11;;1;;;;5;;;1;;1;;;;;;;;;;;1;;;1;;;;;;;;3;1;1;;;;;;;;;;;;;1;;;;;;3;1;;1;1;1;1;;;;20;;10;4;2;3;2;;;1;;;161
30696-4435;20120102;SUCESSO;1;;1;;14;;;;1;;;;;;;;;;;;;;2;;1;;;;;2;2;1;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;8;;;1;;1;3;;1;;;;;;;;;;;;;;2;;;2;;1;;;;;;10;;;;;;3;;;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;67
30703-5384;20120202;SUCESSO;1;1;;;42;5;;;4;;;1;;10;;5;;;;1;1;1;7;;5;3;;;1;;;;;;1;;1;1;1;;;;;4;4;7;;;;;;2;;;1;1;1;3;1;;1;29;1;;;10;1;6;5;4;3;2;2;4;32;1;;;19;;4;1;1;1;2;1;1;3;1;;2;2;2;1;;1;1;26;1;;4;;1;14;;4;7;1;1;;;;1;;3;2;1;;;9;;3;4;;3;;3;3;2;;18;;;;;;4;;;4;;4;;3;;2;2;1;1;1;;11;;;2;3;2;2;;6;4;8;;1;;;9;;4;4;;;;449
30705-5489;20120202;insucesso;1;;1;1;11;;;;1;;;;;;;;;;;;;;4;;;;;;;;;;;;;;1;;;;;;;;;2;1;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;1;;;;;;;8;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;4;;;;;2;;;;1;;;48
30705-5799;20130101;SUCESSO;1;;1;1;17;2;;1;2;;;;;2;;;;;;;;;9;;;;;;;;;;;1;2;;;;;;;;;;;2;1;1;1;1;;;;;;;;1;1;;1;1;;;;;;;;;;;;;5;1;;;;;;;;;;;;1;;;1;;1;;;;;12;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;4;1;;1;1;2;2;1;1;1;;;;;;1;;1;1;;;;91
30739-4434;20120102;SUCESSO;1;1;;;28;;;;;;;2;;1;;1;1;;;;;;6;;;;;;;1;1;;;;;;;;;;1;1;1;;;4;;;;2;;;;;1;1;1;;2;;1;3;1;1;;1;;1;;;1;1;;;5;2;;;3;1;1;1;;;1;1;;;;;;;;;;;;32;;;1;;;6;;1;1;;;;;;;;;;;;;7;;;6;1;1;;;;;;20;3;;;;;5;2;;3;2;3;2;1;;4;2;1;1;1;;1;;;;;;;;;;12;;4;2;1;4;1;;;3;1;1;218
30745-5490;20120202;SUCESSO;1;;1;1;69;1;;;4;2;;;;24;1;19;3;5;2;1;;;12;;5;1;1;;;2;1;;;;;;7;4;4;;7;7;1;7;7;6;;;;2;;;;;;;;;;;;40;11;1;3;6;1;2;1;;8;2;1;2;52;3;;1;31;8;5;2;1;;4;1;;2;1;;1;;;;;;;34;;;5;;2;13;;4;4;;3;2;1;;;;1;1;1;;;6;;;4;;2;;1;;;;20;2;;;;;6;2;;2;1;;;;;;;1;;;1;3;;;;;;;;5;5;3;;2;;;9;2;5;5;;;;556
30777-4433;20120102;SUCESSO;1;;1;1;20;1;;;4;;;;;2;;;;;;;1;;11;;6;1;1;;;1;1;1;;;;;;;;;1;1;;;;13;;;;1;;1;;1;;;;;;;;5;1;;1;;;;;;1;1;1;;9;;;;5;1;;;;;;;1;1;1;;1;;;;;;;26;1;2;2;;1;13;;1;5;;3;2;2;;1;;2;2;;;;4;;;4;1;2;;1;1;1;;11;2;1;;;;4;;;2;;1;;1;;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;203
30799-5384;20120202;SUCESSO;1;;;;52;3;;1;5;3;;;;10;;9;5;3;2;;;;16;;9;1;;;;6;4;3;2;;;;4;;;;3;3;1;2;2;10;;;;4;;;;1;1;1;;;;;;20;11;4;3;6;3;5;2;2;1;;1;;23;2;;1;18;7;6;5;2;2;;;1;1;;;1;;;;;;;54;;3;5;;1;21;;5;5;3;2;2;1;;2;;2;2;1;;;16;;;14;1;7;;4;4;2;;30;3;3;;;;9;3;3;6;3;5;3;3;;;;1;1;;;;;;;;;;;;;20;;5;1;1;4;;;;2;;;557
30807-5489;20120202;SUCESSO;2;1;1;1;35;;;;2;;;;;6;;2;1;1;1;;;;15;;4;;;;;;;;;1;5;;1;1;1;;1;1;1;;;8;1;1;1;;;;;1;;;;1;;;;5;1;1;1;1;;1;1;;;;;1;11;1;;;5;1;1;1;1;;;;;;;;1;1;;;;;;36;4;1;3;;2;5;;;1;;;;;;;;;;;;;3;;;2;;;;;;;;16;;;;;;;;;;;;;;;;;2;1;1;1;7;4;;1;1;6;4;;2;2;;;;;;3;;2;2;;;;244
30808-4435;20120102;SUCESSO;2;2;1;1;22;2;;;;;;;;7;;7;;7;4;;;;6;;3;2;1;;;3;2;1;1;;;;1;;;;1;1;;2;2;7;;;;1;;;;2;1;1;1;;;;;25;1;;1;16;1;11;9;8;4;1;;;20;1;;;17;;13;9;8;7;1;;;2;1;;2;;;;;;;25;;2;5;;3;7;;1;3;1;1;1;1;;1;;2;1;1;;;6;;3;3;1;3;;2;;;;6;2;;;1;1;6;1;;4;1;2;;2;;2;1;2;2;2;1;2;1;;1;1;;;;5;5;1;;;;;6;;3;3;1;;;390
30812-5490;20120202;SUCESSO;1;1;;;22;;;;6;1;;;;;;;;;;;;;5;;1;1;1;;;;;;;;;;;;;;;;;;;11;;;;1;;;;4;1;1;1;1;;;;13;;;;2;;1;1;1;1;;1;2;12;2;;;8;;1;1;1;1;;;1;;;;1;;;;;;;42;1;1;1;;1;10;;;6;;2;;;;;;1;1;1;;;3;;1;2;;2;;;;;;2;;;;;;2;;;;;;;;;;;1;1;1;;2;;;;;;;;1;1;;;;;;5;;1;1;;;;202
30813-5490;20120202;SUCESSO;2;1;1;1;19;;;;2;;;;;3;1;2;1;1;1;;;;12;;5;1;;;;1;1;;;;;;2;1;1;;;;;1;1;4;1;1;1;;;;;1;;;;;;;;12;1;;1;2;;1;;;3;2;;;11;2;;1;9;1;1;1;;;3;2;;1;;;;;;;;;;32;1;1;2;;1;11;;;3;;1;1;1;;;;;;;;;2;;;2;1;;;;;;;3;1;;;;;1;;;;;;;;;1;;2;1;1;1;;;;;;;;;2;2;;;;;;4;1;2;2;;2;1;209
30834-4435;20120102;SUCESSO;1;1;;;34;4;;;6;2;;;;16;2;12;;2;1;5;1;;8;;2;;;;;;;;;;;;;;;;1;1;;3;3;10;;;;4;;2;;1;1;1;1;;1;;;28;4;2;;8;1;4;2;1;9;5;2;1;25;5;;1;23;1;6;4;2;1;9;5;2;1;1;;;;;;;;;18;2;;;;;3;;;;;;;;;;;1;1;;;;4;;;4;;1;;;;;;11;1;1;;;;1;;;;;;;;;;;1;1;1;;1;;;;;;;;3;3;;;;;;3;;3;3;;1;1;348
30904-4603;20120102;SUCESSO;2;1;1;1;33;1;;;2;1;;;;3;;3;2;;;1;;;14;;4;2;1;;;3;2;1;;;;;1;1;1;;1;1;;;;4;1;1;1;2;;;;;1;1;1;;1;;;12;5;1;1;;;;;;4;4;;;13;;;;11;4;;;;;4;4;;1;;;;;;;;;;28;;1;1;;1;6;;;3;;1;;;;1;;1;1;;;;8;;;6;3;3;;1;;;;12;3;1;;2;2;3;;;1;;;;;;1;;2;1;1;1;;;;;;;;;2;2;;;;;;2;1;2;2;;;;266
30926-4433;20120102;SUCESSO;1;;1;1;33;6;;2;6;3;;3;;;;;;;;;;;9;;4;1;1;;1;2;2;1;1;1;3;2;;;;;;;;;;9;1;1;1;4;;1;;;;;;;4;;2;3;;;;2;;2;1;1;1;1;;;3;;;;3;;2;2;1;1;;;;1;1;;;;;;;;;21;1;1;1;;1;5;;;1;;1;1;;;;;1;1;1;;;7;;;6;;3;;3;1;1;;11;1;;;1;1;4;1;;3;1;1;1;1;;2;2;1;;;1;2;;;;;4;1;3;2;2;;;;;;3;;1;1;;2;1;243
30940-4435;20120102;SUCESSO;1;;1;1;55;1;;;4;;;;;14;1;10;;4;4;;1;;8;;4;2;1;;;3;2;1;1;;;;;;;;4;4;;3;2;12;1;1;1;3;;1;;4;;;;;1;;;37;2;;;19;1;12;9;6;4;2;4;1;34;4;;;28;1;12;8;6;4;2;1;3;4;3;;2;1;;4;;2;1;36;1;1;5;;5;13;;2;4;;2;1;1;;;;3;2;2;;;15;;2;13;1;7;;4;1;1;;22;4;3;;;;8;1;1;4;1;1;1;1;;1;1;2;;;1;2;2;;;;1;;1;;;;;;;;1;1;;;;;;555
30965-4433;20120102;insucesso;;;;;18;5;;;1;1;;1;;3;;1;;;;;1;;2;;;;;;;1;1;;;;;;;;;;;;;;;6;;;;2;;1;;;;;;;1;;;5;;;;4;;3;2;;1;1;;;9;;;;5;;4;3;2;;1;;;3;2;;2;1;;;;;;16;;;2;;1;3;;1;1;;;;;;2;2;2;2;;;;5;;;5;;1;;1;1;;;12;1;;;;;3;1;;2;;2;;1;1;;;;;;;;;;;;;;;2;2;;;;;;3;;2;2;;;;172
30968-4434;20120102;SUCESSO;1;1;;;18;;;;1;;;;;2;;;;;;;1;;7;;3;1;;;;;;;;;;;;;;;2;2;1;;;5;;;;;;2;;;1;1;1;;3;;1;3;;;;1;;1;1;;;;1;;9;1;;;3;;1;1;1;;;;1;1;1;;1;;;1;;1;1;10;3;1;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;106
30969-5799;20130101;insucesso;;;;;9;1;;;;;;;;;;;;;;;;;3;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;6;;;;;;1;;;;;;;;;;;;;;;9;5;;;;;;;;;;;;;;;;;;;;;47
30982-4435;20120102;insucesso;1;;1;1;25;7;;1;2;;1;;;5;;3;1;1;;;1;;8;1;3;2;1;1;1;;;;;;;;1;1;1;;1;1;;;;3;1;1;1;1;;1;;1;;;;;;;;8;2;;1;3;;1;;;1;;;;8;1;;1;8;2;3;1;;;;;;1;1;;1;;;;;;;17;;;3;1;2;4;;;2;;1;1;;;2;;4;1;;;1;6;6;;2;;;;;;;;2;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;1;1;;;;;;1;;1;1;;;;187
30985-4433;20120102;insucesso;1;;1;;12;;;;;;;2;2;;;;;;;;;2;2;;1;;;;;;;;;;;;;;;3;;;;;;9;1;1;;;;1;;1;;;;;4;;4;2;;;;1;;;;;1;;1;;6;;;;2;;1;;;;;;;1;1;;;;;2;;1;;17;;1;1;;;4;1;1;1;;;;;;;;;;;;;4;;;4;;1;;1;1;;;21;;;;;;3;;;1;;1;;;;1;1;1;;;;;;;;;;;;;;9;;1;1;1;6;;;;3;3;3;159
30988-4603;20120102;insucesso;1;1;;;17;1;;;;;;;;3;;;;;;;;;9;;4;2;1;1;;3;3;3;;;;;1;1;1;;;;;;;2;;;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;3;1;1;;;;;;;;;;;;;;3;;;;;;;15;;1;1;1;;4;;1;2;;1;1;;;;;1;1;1;;;5;;;5;2;5;1;3;2;1;1;7;4;1;1;3;3;7;3;1;4;1;3;1;2;1;;;1;1;1;;;;;;;;;;1;1;;;;;;1;;1;1;;;;171
30993-4435;20120102;insucesso;1;1;;;35;2;;;2;;;;;19;1;16;;5;;;;;6;;;;;;1;2;2;1;;;;;;;;;1;1;;;;4;;;;;;;;1;;;;;;;;23;1;;1;8;;4;1;;3;2;;1;25;3;1;;19;;7;3;1;;3;2;;;;;;;1;3;3;;;12;;1;1;1;;2;1;;;;;;;;;;2;1;1;;;7;2;1;5;1;3;1;;;;;6;2;1;;1;;3;1;1;;;;;;;2;2;1;1;1;;1;;;1;;;;;;;;;;;;;;;;;;;282
30996-4435;20120102;SUCESSO;1;;1;1;16;;;;1;;;;;5;;2;;;;;1;;2;;2;;;;;;;;;;;;1;1;1;;1;1;1;;;4;;;;;;;;;;;;;;;;7;;;;3;;1;1;;;;2;;11;1;;;5;;2;;;;;;1;1;;;2;;;;;;;19;;;1;;;10;;1;1;;;;;;1;;1;1;;;;7;;;6;;4;;2;;;;10;2;1;;;;4;1;1;2;1;;;;;;;1;;;1;1;;;;;1;;;3;2;13;;6;;;6;1;3;2;;;;195
31031-5384;20120202;SUCESSO;1;;1;1;41;2;;2;6;1;;;;7;;4;3;;;1;;;15;;7;3;1;;1;3;2;1;;;;;1;;;;2;2;;4;4;10;1;1;1;2;;;;1;;;;;;;;13;6;1;1;1;;;;;1;;;;12;;;;8;5;1;;;;1;;;1;1;;1;;;;;;;36;;;1;;;11;;;5;;2;1;1;;2;;3;3;2;;;10;;;10;1;4;;2;1;1;;13;5;2;;1;1;6;4;2;3;3;2;2;1;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;329
31077-4434;20120102;SUCESSO;1;;1;1;30;1;;;4;;;;;5;;1;;;;;2;;7;;1;;;;2;1;1;1;;;1;1;2;1;1;;;;;;;5;1;1;1;1;;;;1;;;;;;;;3;1;;1;1;;1;1;1;;;;;7;;;;3;1;1;1;1;1;;;;2;2;;2;;;;;;;16;1;1;;;;2;;;;;;;;;1;;3;3;;;;3;;;3;2;1;;;;;;3;3;1;;;;1;1;;;;;;;;;;1;;;1;;;;;;1;;1;2;2;6;;2;1;1;6;1;2;2;1;;;180
31136-5799;20130101;SUCESSO;1;1;;;56;1;;;;;;;;17;1;5;1;;;3;1;;15;;3;2;2;;1;6;5;4;2;1;3;3;;;;;;;;1;1;3;;;;;;;;;1;1;1;;1;;;11;4;1;;1;1;;;;4;1;;;29;3;;1;9;2;1;;;;4;1;;2;;;6;1;;;;;;55;;2;3;;;8;;;4;;4;;;;1;;5;4;3;;;10;;;9;1;7;;3;2;1;;20;4;3;;2;2;16;4;3;7;2;5;1;1;;;;1;1;1;;3;1;;;1;4;2;4;7;4;7;;3;1;1;5;;4;3;1;;;471
31155-4433;20120102;SUCESSO;2;2;;;18;1;;;1;;;;;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;8;;;;1;;;;;1;1;1;;;;;1;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;5;;;2;;2;1;1;;;;1;;;;;4;;;1;;;;;;;;7;1;;;;;3;1;;2;;1;;1;;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;103
